19280410,100,54,BOS,7,031000300,1,0,WS1,5,301000010,1,0
19280411,115,54,WS1,8,003310010,2,0,BOS,4,000002020,2,0
19280411,126,54,CLE,8,021000302,1,1,CHA,2,000200000,1,0
19280411,123,54,SLA,4,000112000,1,0,DET,1,100000000,1,0
19280411,145,54,NYA,8,023000201,1,0,PHA,3,001002000,1,0
19280411,108,54,PHI,4,010200100,1,1,BRO,3,000100200,1,0
19280411,111,51,CHN,1,000001000,1,0,CIN,5,00002102x,1,0
19280411,110,51,BSN,2,002000000,1,1,NY1,5,00001202x,1,0
19280411,120,51,PIT,7,011001202,1,0,SLN,14,30102602x,1,0
19280412,98,54,CLE,2,100001000,2,0,CHA,1,000010000,2,2
19280412,129,54,SLA,7,020000050,2,1,DET,2,000002000,2,1
19280412,136,51,CHN,3,100100010,2,2,CIN,9,00000126x,2,2
19280412,97,51,PIT,0,000000000,2,0,SLN,5,12002000x,2,0
19280413,115,54,WS1,6,000410100,3,0,BOS,4,003010000,3,1
19280413,65,36,CLE,1,001000,3,1,CHA,1,000100,3,0
19280413,155,66,SLA,4,11000000101,3,0,DET,3,30000000000,3,0
19280413,123,54,NYA,8,052000100,2,0,PHA,7,001011121,2,0
19280413,115,51,PHI,1,001000000,2,1,BRO,6,10010112x,2,2
19280413,96,54,CHN,2,010000100,3,0,CIN,0,000000000,3,0
19280413,130,51,BSN,3,200001000,2,0,NY1,7,01010005x,2,1
19280414,50,30,WS1,0,00000,4,1,BOS,0,00000,4,1
19280414,128,54,CLE,8,300002111,4,1,DET,6,010000122,4,0
19280414,114,51,PIT,0,000000000,3,1,CIN,5,00010040x,4,0
19280414,98,54,CHN,4,000010012,4,0,SLN,1,000000010,3,0
19280415,,54,SLA,4,020100100,4,0,CHA,1,100000000,4,0
19280415,124,51,CLE,2,101000000,5,0,DET,8,03010202x,5,2
19280415,102,51,BOS,5,000210002,5,0,WS1,6,01300200x,5,2
19280415,120,51,BSN,2,000002000,3,0,BRO,3,01100100x,3,1
19280415,123,54,PIT,3,101000001,4,1,CIN,2,000000011,5,0
19280415,110,51,PHI,1,000000010,3,0,NY1,8,00024101x,3,2
19280415,103,51,CHN,3,030000000,5,0,SLN,4,00012010x,4,1
