19110424,AL,130,51,WS1,3,000100002,7,-1,NYA,5,01000103x,7,-1
19110424,NL,114,54,BSN,3,000000102,10,-1,BRO,0,000000000,9,-1
19110424,NL,145,51,CHN,4,200000101,11,-1,CIN,7,30000004x,8,-1
19110424,NL,95,51,NY1,1,000010000,8,-1,PHI,4,20100001x,9,-1
19110424,NL,140,65,PIT,5,02000300000,8,-1,SLN,6,30000011001,11,-1
19110425,AL,112,51,NYA,3,100001010,8,-1,BOS,5,00302000x,9,-1
19110425,AL,97,51,CLE,2,000200000,11,-1,CHA,5,01000130x,11,-1
19110425,AL,140,51,SLA,9,200211030,12,-1,DET,11,10010810x,10,-1
19110425,AL,125,51,WS1,2,000200000,8,-1,PHA,11,01012601x,9,-1
19110425,NL,99,51,PHI,3,100000002,10,-1,BRO,4,00001102x,10,-1
19110425,NL,145,54,CHN,5,200001020,12,-1,CIN,4,000001111,9,-1
19110425,NL,85,51,BSN,1,010000000,11,-1,NY1,3,00100011x,9,-1
19110425,NL,128,54,PIT,9,421000020,9,-1,SLN,4,000300010,12,-1
19110426,AL,126,51,NYA,8,101100410,9,-1,BOS,11,44012000x,10,-1
19110426,AL,125,51,CLE,6,301020000,12,-1,DET,9,10040040x,11,-1
19110426,AL,125,51,WS1,2,000000002,9,-1,PHA,7,00005110x,10,-1
19110426,NL,131,54,PHI,10,023003110,11,-1,BRO,3,000001200,11,-1
19110426,NL,135,54,CHN,10,102034000,13,-1,CIN,8,001030040,10,-1
19110426,NL,110,51,BSN,3,001000200,12,-1,NY1,6,00012120x,10,-1
19110426,NL,115,54,PIT,2,000000002,10,-1,SLN,1,001000000,13,-1
19110427,AL,132,54,NYA,4,120000010,10,-1,BOS,3,030000000,11,-1
19110427,AL,115,51,SLA,4,010000021,13,-1,CHA,14,10601132x,12,-1
19110427,AL,137,54,DET,6,010002003,12,-1,CLE,3,000011001,13,-1
19110427,AL,130,51,WS1,6,001010031,10,-1,PHA,9,10000080x,11,-1
19110427,NL,92,54,PHI,4,110001001,12,-1,BRO,2,000011000,12,-1
19110427,NL,139,51,CHN,2,020000000,14,-1,CIN,4,04000000x,11,-1
19110427,NL,120,51,BSN,5,130010000,13,-1,NY1,12,50113020x,11,-1
19110428,AL,110,54,NYA,2,010001000,11,-1,BOS,1,000100000,12,-1
19110428,AL,136,54,DET,5,210000110,13,-1,CLE,3,100100001,14,-1
19110428,AL,105,54,WS1,2,000000200,11,-1,PHA,1,010000000,12,-1
19110428,NL,89,51,PHI,0,000000000,13,-1,BRO,5,30200000x,13,-1
19110428,NL,138,54,BSN,9,004020102,14,-1,NY1,3,001001100,12,-1
19110428,NL,120,52,CHN,3,000000021,15,-1,PIT,4,000100012,11,-1
19110429,AL,130,54,WS1,4,000001300,12,-1,BOS,3,000110100,13,-1
19110429,AL,43,30,SLA,1,00010,14,-1,CHA,0,00000,13,-1
19110429,AL,97,51,DET,1,000000001,14,-1,CLE,2,10100000x,15,-1
19110429,AL,138,54,PHA,10,025002100,13,-1,NYA,6,200004000,12,-1
