19300428,138,54,CHA,9,000114201,8,0,DET,7,000025000,13,1
19300428,112,54,CLE,3,000000201,10,2,SLA,1,000000010,11,1
19300428,131,51,NYA,5,010011200,9,1,WS1,6,02031000x,11,0
19300428,99,51,PIT,4,000031000,10,0,CHN,7,21000121x,14,1
19300428,129,54,SLN,8,012300020,13,0,CIN,3,002000100,11,0
19300428,150,54,BRO,6,000021003,10,1,NY1,4,102000010,8,0
19300428,100,51,BSN,4,011110000,8,0,PHI,7,00002320x,10,0
19300429,128,54,PHA,9,202202001,10,0,BOS,5,020030000,12,0
19300429,128,54,CHA,8,100003211,9,0,DET,6,101020002,14,0
19300429,113,54,CLE,6,000302010,11,0,SLA,4,000003010,12,0
19300429,172,51,NYA,8,412000010,10,0,WS1,11,00710120x,12,1
19300429,136,54,PIT,13,010127002,11,0,CHN,9,304000200,15,1
19300429,190,54,BRO,19,2(11)3030000,11,0,NY1,15,029120001,9,1
19300429,120,51,BSN,2,000000002,9,2,PHI,8,00000008x,11,0
19300430,106,51,PHA,3,000003000,11,0,BOS,7,10400110x,13,0
19300430,124,51,CHA,4,100101010,10,0,DET,6,40000020x,15,0
19300430,123,54,CLE,6,100110030,12,2,SLA,3,100002000,13,0
19300430,97,54,NYA,9,300000051,11,0,WS1,0,000000000,13,0
19300430,101,51,PIT,2,000000020,12,1,CHN,5,11011010x,16,0
19300430,103,52,SLN,3,001010010,14,1,CIN,4,001200001,12,1
19300430,117,54,BRO,9,402200010,12,0,NY1,4,000000202,10,0
19300430,124,54,BSN,9,150200100,10,0,PHI,3,000100002,12,0
19300501,137,51,DET,2,000002000,16,0,PHA,19,51122008x,12,0
19300501,105,54,BSN,4,000000310,11,1,PIT,3,100000020,13,1
19300502,108,54,CLE,8,000020033,13,1,BOS,3,020010000,14,0
19300502,120,54,CHA,10,202000042,11,0,NYA,1,000000001,12,0
19300502,114,51,DET,4,000000130,17,0,PHA,9,20102400x,13,1
19300502,120,51,SLA,5,100400000,14,1,WS1,13,52400002x,14,0
19300502,123,51,PHI,8,100020203,13,0,CHN,11,02200232x,17,0
19300502,124,51,NY1,8,200004002,11,0,CIN,9,07200000x,13,1
19300502,99,51,BSN,2,001000001,12,0,PIT,3,10110000x,14,0
19300502,137,54,BRO,8,002002040,13,1,SLN,4,000004000,15,0
19300503,130,54,CLE,6,200000022,14,0,BOS,5,003000002,15,1
19300503,122,51,CHA,3,000100101,12,0,NYA,5,02210000x,13,2
19300503,112,52,DET,5,103010000,18,1,PHA,6,200001012,14,0
19300503,120,54,SLA,4,000010210,15,2,WS1,2,010000010,15,1
19300503,112,58,PHI,0,0000000000,14,2,CHN,1,0000000001,18,1
19300503,140,54,NY1,9,100160001,12,0,CIN,8,000500120,14,0
19300503,126,54,BSN,12,500010411,13,0,PIT,7,610000000,15,0
19300503,174,60,BRO,11,0202100105,14,0,SLN,10,0001004104,16,1
19300504,144,60,CLE,8,0000110051,15,1,BOS,7,3000200200,16,0
19300504,137,54,PHA,7,100000312,15,0,DET,1,000100000,19,1
19300504,135,51,CHA,4,000000220,13,0,NYA,7,00300022x,14,0
