19180415,AL,108,51,PHA,1,010000000,1,0,BOS,7,02110300x,1,1
19180415,AL,,54,NYA,6,202000020,1,1,WS1,3,000300000,1,0
19180416,AL,,52,PHA,0,000000000,2,1,BOS,1,000000001,2,1
19180416,AL,,54,SLA,6,101021100,1,1,CHA,1,000001000,1,2
19180416,AL,135,51,NYA,6,101020011,2,-1,WS1,7,00200014x,2,-1
19180416,NL,,51,PIT,0,000000000,1,1,CIN,2,00020000x,1,0
19180416,NL,,51,BRO,4,011100010,1,0,NY1,6,30120000x,1,2
19180416,NL,,51,BSN,2,000000011,1,0,PHI,5,00100040x,1,0
19180416,NL,,51,CHN,2,000000002,1,0,SLN,4,20001100x,1,2
19180417,AL,,51,PHA,4,000000022,3,1,BOS,5,010000013,3,1
19180417,AL,185,72,NYA,8,401020000001,3,-1,WS1,7,210102010000,3,-1
19180417,NL,,54,PIT,8,000700001,2,1,CIN,1,100000000,2,1
19180417,NL,85,51,BRO,0,000000000,2,0,NY1,2,00020000x,2,1
19180417,NL,,54,BSN,14,450014000,2,1,PHI,2,000000020,2,0
19180418,AL,,51,SLA,0,000000000,2,2,CHA,5,00100040x,2,0
19180418,AL,,51,DET,2,002000000,1,1,CLE,6,00000150x,1,0
19180418,NL,,51,PIT,6,002002020,3,0,CIN,7,100000204,3,1
19180418,NL,,54,CHN,6,003201000,2,0,SLN,4,000100102,2,0
19180419,AL,,51,NYA,1,000010000,4,1,BOS,2,01100000x,4,1
19180419,AL,130,51,NYA,5,000100211,5,1,BOS,9,10005120x,5,1
19180419,AL,104,53,PHA,0,000000000,4,-1,WS1,1,000000001,4,-1
19180419,NL,,51,BRO,5,000000041,3,0,NY1,7,41010001x,3,3
19180419,NL,,58,BSN,3,2000001000,3,1,PHI,4,0000003001,3,1
19180420,AL,,51,NYA,3,100101000,6,1,BOS,4,30000001x,6,1
19180420,AL,,51,SLA,1,000000001,3,0,CLE,3,00010020x,2,4
19180420,NL,,51,BSN,0,000000000,4,0,NY1,5,01300001x,4,1
19180420,NL,,51,BRO,2,000000002,4,0,PHI,9,02050200x,4,1
19180421,AL,,54,SLA,11,050040020,4,0,CLE,7,111010210,3,1
19180421,NL,110,54,CHN,9,100050300,3,0,CIN,1,000000001,4,1
19180422,AL,,54,NYA,11,003400301,7,3,BOS,4,200000002,7,0
19180422,AL,,54,DET,7,102000400,2,0,CHA,3,001000002,3,0
19180422,AL,,51,SLA,1,000000100,5,0,CLE,8,10102040x,4,0
19180422,AL,105,54,PHA,5,000005000,5,-1,WS1,1,000010000,5,-1
19180422,NL,,51,CHN,2,000000200,4,0,CIN,3,01100010x,5,1
19180422,NL,136,51,BSN,2,200000000,5,1,NY1,4,11000002x,5,2
19180422,NL,,51,BRO,0,000000000,5,0,PHI,3,10200000x,5,0
19180422,NL,,54,PIT,5,000010301,4,0,SLN,1,000000001,3,1
19180423,AL,,52,NYA,0,000000000,8,0,BOS,1,000000001,8,0
19180423,AL,,51,SLA,2,000200000,6,2,CLE,8,00002042x,5,0
19180423,AL,90,54,PHA,5,003010010,6,-1,WS1,0,000000000,6,-1
19180423,NL,,51,BSN,2,000002000,6,0,NY1,9,01301301x,6,3
19180423,NL,,51,PIT,5,230000000,5,1,SLN,6,02300010x,4,1
19180423,NL,,51,CHN,2,002000000,5,-1,CIN,3,00100110x,6,-1
19180423,NL,,51,BRO,2,010001000,6,-1,PHI,7,01300030x,6,-1
19180424,AL,,51,CLE,2,000020000,6,1,DET,5,20201000x,3,1
19180424,AL,,51,WS1,4,000000022,7,1,NYA,5,11102000x,9,1
19180424,AL,,51,BOS,0,000000000,9,0,PHA,3,00000003x,7,1
19180424,NL,,54,NY1,6,000000150,7,0,BRO,2,100100000,7,0
19180424,NL,118,54,PHI,4,010200100,7,0,BSN,1,000000010,7,0
19180424,NL,,51,SLN,0,000000000,5,-1,CHN,2,01100000x,6,-1
19180425,AL,,54,WS1,7,001003012,8,2,NYA,5,201010010,10,1
19180425,AL,,54,BOS,6,111020001,10,3,PHA,1,000000010,8,0
19180425,AL,,54,CLE,8,110120012,7,-1,DET,4,000000220,4,-1
19180425,NL,,60,NY1,6,0102001011,8,2,BRO,5,3000000020,8,0
19180425,NL,,51,SLN,2,010000001,6,2,CHN,3,11001000x,7,0
19180425,NL,92,51,CIN,0,000000000,7,1,PIT,1,10000000x,6,1
19180425,NL,140,51,PHI,5,000002120,8,-1,BSN,6,00004020x,8,-1
19180426,AL,,54,WS1,9,620000010,9,2,NYA,4,001110100,11,0
19180426,AL,140,54,BOS,2,000000200,11,-1,PHA,1,000100000,9,-1
19180426,AL,,54,CHA,6,100230000,4,-1,SLA,2,002000000,7,-1
19180426,NL,,54,NY1,11,400004210,9,2,BRO,5,000003020,9,0
19180426,NL,110,52,SLN,2,100000001,7,2,CHN,3,000000201,8,0
19180426,NL,105,51,CIN,1,000000001,8,1,PIT,7,00014011x,7,1
19180426,NL,100,54,PHI,3,000001002,9,-1,BSN,0,000000000,9,-1
19180427,AL,,72,CLE,3,000000020001,8,0,DET,2,002000000000,5,1
19180427,AL,,52,WS1,1,000100000,10,2,NYA,2,010000001,12,0
19180427,AL,,54,BOS,4,000202000,12,3,PHA,1,000000100,10,2
19180427,NL,,51,NY1,3,201000000,10,1,BRO,5,01010111x,10,0
19180427,NL,,54,PHI,4,120000001,10,1,BSN,1,000100000,10,0
19180427,NL,,70,SLN,4,000100030000,8,1,CHN,5,020000110001,9,1
19180427,NL,111,54,CIN,4,000000004,9,2,PIT,2,000002000,8,4
19180428,AL,,54,CHA,2,000001001,5,-1,SLA,1,000000100,8,-1
19180428,NL,136,48,SLN,4,00000130,9,2,CIN,2,10000001,10,0
19180429,AL,,54,CHA,8,020211020,6,1,CLE,4,000000400,9,0
19180429,AL,,51,DET,3,120000000,6,-1,SLA,12,20005014x,9,-1
19180429,NL,,54,NY1,6,100200111,11,1,PHI,0,000000000,11,1
19180430,AL,,54,CHA,13,021315010,7,1,CLE,3,000200010,10,0
19180430,AL,,51,PHA,0,000000000,11,1,NYA,2,00001001x,13,0
19180430,AL,,51,WS1,1,000000010,11,-1,BOS,8,00420002x,13,-1
19180430,NL,,51,BSN,3,000100020,11,0,BRO,5,00030200x,11,2
